model,accuracy_fold_mean,accuracy_fold_sd,balanced_accuracy_fold_mean
majority,0.710374,0.020088,0.500000
pls_lr,0.963204,0.013551,0.950553
pca_lr,0.960293,0.000268,0.951576
tanh_lr,0.939637,0.024618,0.936963
tqt_fixed,0.927818,0.029796,0.924462
tqt_random,0.931305,0.016216,0.927261
tqt_trained,0.937213,0.011611,0.926959
qt_exact,0.938149,0.022695,0.932150
qt_exact_grid,0.943074,0.016521,0.937034
pca_tqt,0.908808,0.004853,0.896015
logical_tqt,0.947029,0.008495,0.938051
logical_qt,0.940098,0.022592,0.932505
